first Name,last Name,age,english,overseas_employment,australia_employment,qualifications,australia_study,specialist_qualification,credentialled,study_regional,partner,professional_year,visa
Doro,Berard,4,2,3,2,4,0,1,0,0,2,1,1
Tilly,Kauppi,0,0,3,3,1,1,0,1,1,1,1,2
Feliza,Deegan,1,1,1,0,4,1,1,0,1,3,1,2
Joy,Jacqui,1,0,3,0,1,0,1,1,0,0,0,0
Lynea,Shields,3,3,3,2,1,1,0,1,0,2,1,0
Mariele,Cleo,3,1,2,1,3,1,0,0,1,3,0,3
Cyndie,Philipp,4,0,1,0,3,1,1,0,1,0,1,0
Johna,Caitlin,0,0,3,3,0,0,0,0,1,3,0,2
Rivalee,Gusella,2,1,1,4,2,1,1,1,1,0,0,0
Lita,Hieronymus,3,2,1,0,4,0,0,1,1,1,1,0
Nelle,Natica,0,0,0,3,3,0,1,1,0,0,0,3
Catrina,Malvino,0,0,1,1,3,1,0,1,0,3,0,2
Valera,Ashok,0,0,3,4,1,0,1,1,1,1,0,1
Betta,Behre,0,1,3,2,0,0,1,1,1,0,1,2
Kaja,Dannye,2,3,1,0,2,1,0,1,1,0,0,3
Sue,Ovid,1,3,2,3,1,0,1,0,0,1,1,0
Elvira,Fiester,4,1,0,2,4,0,1,1,0,3,0,2
Genevra,Chem,1,1,3,4,2,0,1,1,0,2,0,1
Leontine,Chesna,1,1,0,0,2,0,0,0,0,3,0,3
Keelia,Emerson,2,0,0,1,3,1,1,0,0,3,0,0
Gavrielle,Freddi,3,0,2,2,2,0,0,0,0,3,1,1
Delilah,Roarke,4,0,3,4,4,1,0,0,0,1,1,2
Nickie,Ahab,3,1,1,1,1,0,0,0,0,1,1,3
Gloria,Darrell,2,2,3,3,2,1,0,1,1,3,0,3
Hyacinthe,Braun,3,3,1,3,2,1,0,0,1,0,1,1
Belinda,Thunell,1,3,2,2,3,0,1,0,1,0,1,0
Emylee,Marcellus,3,0,0,4,4,1,0,0,0,0,1,0
Maryellen,Adamsen,2,2,1,4,2,0,1,0,1,2,1,1
Jany,Lenny,2,2,1,0,2,1,0,1,0,3,0,3
Babita,Kosey,3,0,1,2,2,0,0,1,1,1,0,3
Wynne,Madelene,2,0,0,0,0,0,0,1,1,0,0,2
Aigneis,Eno,3,1,0,4,3,1,0,0,0,1,1,2
Dulcinea,Shields,4,3,0,3,3,0,0,0,1,1,0,0
Damaris,Berl,3,3,2,0,3,1,0,0,1,3,1,1
Janis,Euridice,3,1,0,0,4,0,1,0,0,3,1,2
Coral,Kare,1,2,0,1,0,1,1,1,1,1,1,0
Sallie,Douglass,0,1,2,0,3,0,0,0,1,1,0,2
Kaia,Phi,4,3,1,2,2,0,0,0,0,2,1,1
Mady,Kiyoshi,0,0,2,4,0,1,1,1,1,0,0,1
Tiffie,Eiser,0,0,3,4,1,0,0,1,1,2,0,1
Cherrita,Erskine,1,3,2,3,3,1,1,1,1,1,0,2
Ingrid,Cherianne,0,3,3,1,0,1,0,1,0,0,0,3
Janeczka,Karylin,4,0,1,2,1,0,1,0,1,2,0,2
Cassandra,Edee,4,0,2,4,4,0,0,0,1,3,0,2
Nita,Gaspard,2,3,1,3,1,0,0,0,0,1,1,2
Modestia,McNully,4,1,3,0,1,0,0,0,1,1,0,1
Nannie,Joseph,4,3,2,0,4,1,1,1,1,0,1,3
Mallory,Rossner,0,1,0,0,0,1,0,0,1,0,1,0
Dulce,Clie,4,3,2,0,3,1,0,0,0,1,0,3
Alleen,Gino,1,0,1,3,1,1,1,0,0,1,0,2
Micheline,Suanne,3,1,1,1,1,0,0,0,1,2,0,3
Dorene,Leary,4,3,2,1,3,0,0,1,1,0,1,0
Cecile,Ophelia,4,2,1,2,4,0,0,0,1,2,1,0
Sara-Ann,Chinua,1,1,2,4,0,1,0,1,0,2,1,1
Heida,Garlinda,1,3,2,2,1,0,0,1,1,2,0,0
Lynea,Monk,1,2,3,2,4,1,1,1,0,2,0,3
Jasmina,Tacye,4,3,1,3,2,1,0,0,1,2,1,2
Fred,Dituri,0,1,3,3,2,1,0,0,1,3,1,1
Bernardine,Bord,3,1,3,2,0,1,1,0,0,1,0,0
Beverley,Jary,3,1,2,1,0,1,1,1,0,0,1,1
Dorene,Blake,0,2,2,4,2,0,1,0,1,1,1,1
Aigneis,Ivens,4,2,2,1,1,1,0,1,0,2,1,2
Susan,Stuart,0,1,3,1,1,0,1,0,0,3,1,1
Cassandra,Yuille,3,0,0,1,0,1,0,0,0,1,0,0
Ariela,Tamsky,1,1,2,4,4,0,1,0,1,3,0,1
Sharlene,Diogenes,4,1,1,3,1,1,1,0,1,1,1,3
Anica,Ardra,4,1,0,4,4,0,0,1,1,3,0,3
Mignon,Cookie,0,2,2,4,4,1,0,0,0,0,1,0
Riannon,Lumbard,3,1,2,1,2,1,1,0,1,3,1,3
Bill,Cookie,1,0,3,0,3,0,0,1,0,3,0,2
Feliza,Hirsch,2,0,1,2,0,0,0,1,1,0,0,0
